"","Year","Location","Treatment","HarvestNumber","time","N_application.kg.ha","P_application.kg.ha","K_application.kg.ha","DMLeaves.g.DM.m2","DMstems.g.DM.m2","DMRoots.g.DM.m2","Biomass.g.DM.m2","NUP_L.g.m2","NUP_ST.g.m2","NUP_SO.g.m2","NUP.g.m2","PUP_L.g.m2","PUP_ST.g.m2","PUP_SO.g.m2","PUP.g.m2","KUP_L.g.m2","KUP_ST.g.m2","KUP_SO.g.m2","KUP.g.m2","std_DMLeaves.g.DM.m2","std_DMstems.g.DM.m2","std_DMRoots.g.DM.m2","std_Biomass.g.DM.m2","std_NUP_L.g.m2","std_NUP_ST.g.m2","std_NUP_SO.g.m2","std_NUP.g.m2","std_PUP_L.g.m2","std_PUP_ST.g.m2","std_PUP_SO.g.m2","std_PUP.g.m2","std_KUP_L.g.m2","std_KUP_ST.g.m2","std_KUP_SO.g.m2","std_KUP.g.m2"
"1",2016,"Benue","Control",1,379,0,0,0,13.5295138873333,13.6041666666667,89.1119791666667,116.245659720667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17641336530436,0.78145830556296,18.5877851733266,15.1210881621027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2016,"Benue","Control",2,455,0,0,0,4.10370370733333,12.693518539,116.136111066667,132.933333313,0.13584335627615,0.0701589790888061,0.507976908624545,0.713979243989502,0.0078972482573553,0.0072762732636387,0.0724934391863962,0.0876669607073902,0.0350979561917841,0.0444568457227051,0.741439919597729,0.820994721512218,1.59150256741305,6.87622418728987,80.0245008650626,85.1447033645904,0.0526829093175409,0.0380059214853456,0.350025484668776,0.359963161751549,0.00306271889333024,0.0039416404565085,0.0499521745097266,0.0518672726351681,0.0136117252545196,0.0240827818472751,0.510895008815826,0.524586262031796
"3",2016,"Benue","Control",3,645,0,0,0,45.3656249966667,226.428819433333,858.652343933333,1130.44678836333,2.04006329539679,1.47382245269572,2.81701292703194,6.33089867512444,0.125315601741917,0.14268131737713,0.494601112055994,0.762598031175042,0.539292042033499,1.1139919304491,6.24783174764688,7.90111572012948,7.85865553713309,20.9850054349523,267.146499194977,272.531842012307,0.353398739985396,0.136591147087089,0.876437532559751,1.16448777052633,0.0217083341757254,0.0132234413804679,0.15388178523852,0.169422538175725,0.0934211838273973,0.103242717837207,1.9438442004331,2.00500520169969
"4",2016,"Benue","N0PfKf",3,645,0,100,300,79.7780258,270.653521733333,1004.12760416667,1354.5591517,3.18091355805261,1.58311899690619,3.22842978318958,7.99246233814838,0.207115181583435,0.218133289743572,0.611293535877734,1.03654200720474,1.09886653461944,1.62066760712178,8.34028156067357,11.0598157024148,31.7982380728986,64.0309346528277,402.45105580091,489.598915002364,1.26786098795977,0.374532680710602,1.29394408582367,2.88971968307542,0.0825527804988839,0.0516057516330362,0.245004447539749,0.372440162333288,0.437990528441604,0.383415892691814,3.34275753982042,4.11013172409428
"5",2016,"Benue","NfP0Kf",3,645,300,0,300,138.654513886667,523.567708333333,1003.32031266667,1665.54253488667,5.61314485386507,4.5546443186263,4.09383309286559,14.261622265357,0.277421857884009,0.200894573690104,0.480676755447035,0.958993187021148,2.07991566216788,2.28846687129167,7.89601720456165,12.2643997380212,87.1551454480999,241.084755575188,590.562250099247,903.876368144745,3.52829808743001,2.09725560765267,2.40966245009801,7.80269312122562,0.174381213395808,0.0925049777203322,0.282930129773538,0.532638903887512,1.30738875334555,1.05375955683656,4.64765800938938,6.83989253437928
"6",2016,"Benue","NfPfK0",3,645,300,100,0,136.041666666667,735.2864584,1931.510417,2802.83854206667,5.45819645971042,4.50604031935256,5.88631098600542,15.8505477650684,0.261116952004167,0.478079792052461,1.07213600335169,1.81133274740832,1.54541335289375,3.11203801670534,11.9755673167334,16.6330186863325,52.240180496753,125.386568657546,256.414896951987,416.164247106466,2.09595468233025,0.768403834208531,0.78142877802762,3.39535955516456,0.10026925601318,0.0815257563703982,0.142329878419672,0.30139743407311,0.593440777927805,0.530688093040118,1.5897992744099,2.54700163677839
"7",2016,"Benue","NfPfK1",3,645,300,100,240,126.025463013333,595.490162033333,1451.80121546667,2173.31684051333,5.63232664701585,4.34437004245895,4.83835167961431,14.8150483690891,0.342944967636584,0.432904078583534,0.876906778521643,1.65275582474176,1.76403461315413,3.79132747914784,11.425511105681,16.9808731979829,74.6185955976182,204.95692189835,646.189996434147,864.586439355692,3.33485229332504,1.49525343701639,2.15352792192845,6.49796967282497,0.20305477353894,0.148997738469366,0.390307145392379,0.682266353686622,1.0444697624735,1.30490620933428,5.08544207153394,6.92234499728104
"8",2016,"Benue","NfPfK2",1,379,300,100,180,60.9565972166667,60.03645833,234.0078125,355.000868046667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0171951849086,5.43301568597132,26.9392978572748,42.2739904209227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2016,"Benue","NfPfK2",2,455,300,100,180,11.3157407806667,64.48425923,261.803819466667,337.603819477333,0.450185448757441,0.51676577894254,1.56785761154704,2.53480883924702,0.0237582883178091,0.0575220930172979,0.193015067490741,0.274295448825848,0.128848740166522,0.296475719775504,1.98306839762824,2.40839285757026,2.95646991141826,9.85246740581375,88.2679409420413,100.069787899472,0.117620203538393,0.0789559817274391,0.528607884115244,0.707576090748975,0.00620734125320467,0.00878872694413232,0.0650756074258345,0.0787765641029448,0.0336643822804174,0.0452981456340338,0.668597442781634,0.740037633100537
"10",2016,"Benue","NfPfK2",3,645,300,100,180,141.331597183333,779.886574066667,1928.17708333333,2849.39525458333,5.84020802446835,4.43102733795882,4.7807250177099,15.0519603801371,0.313615698885615,0.411706201256576,1.17104555327031,1.8963674534125,1.8378630321458,4.28859696489165,14.2906649978182,20.4171249948557,49.5776750317434,106.092057741005,251.588718224846,309.563135229115,2.04868508759071,0.602775870008136,0.62378942773855,2.69971828978559,0.110013171251684,0.0560065521429387,0.152798128489763,0.226615137353708,0.644703505631395,0.58340031993972,1.86464724659328,2.28238944043601
