Location,Year,Loc_yr,Treat,MAP,PAR_Above$umol.m-2.s-1,PAR_Below$umol.m-2.s-1,Tau,Beam_Frac_FB,Z_Angle,leaf_angle_distr,kext,LAI,FLI,ln_FLI,FLI_pcent
Benue,2017,Benue_2017,NFPFK3,8,1484.416667,978.3111111,0.665277778,0.647222222,24.66666667,1.330383481,0.634509715,0.604952515,0.340945751,0.416949428,34.09457514
Benue,2017,Benue_2017,NFPFK4,8,1513.4375,1101.904167,0.723625,0.7525,24.5,1.076889661,0.574166597,0.540890508,0.271919609,0.317343809,27.19196088
Benue,2017,Benue_2017,NFPFKF,8,1546.777778,1053.788889,0.682888889,0.725555556,24.27777778,1.187662902,0.600879623,0.608466559,0.31871992,0.383781779,31.87199196
Benue,2017,Benue_2017,NFPFKFMN,8,1662.916667,977.6388889,0.589611111,0.824444444,24.77777778,1.139235856,0.59096456,0.90145161,0.412093878,0.531188,41.2093878
Benue,2017,Benue_2017,NOTFR,8,1602.316667,1207.866667,0.754777778,0.787222222,23.22222222,1.232199787,0.607925034,0.459850055,0.246174809,0.28259478,24.61748093
Benue,2017,Benue_2017,NOTHR,8,1554.288889,1175.283333,0.757444444,0.764444444,23.27777778,1.230981257,0.607814515,0.448656239,0.243844988,0.279508882,24.38449883
Benue,2017,Benue_2017,CONTROL,10,1142.805556,640.1444444,0.527,0.463888889,27.77777778,2.033898305,0.757202841,0.826071855,0.439848327,0.579547687,43.98483267
Benue,2017,Benue_2017,N0PFKF,10,1337.661111,711.2666667,0.520388889,0.710555556,29.72222222,2.518939394,0.810363508,0.854479327,0.468275888,0.63163051,46.82758878
Benue,2017,Benue_2017,NFP0KF,10,1382.116667,642.5944444,0.4585,0.721666667,28.38888889,2.526645768,0.808971708,1.023249236,0.535064977,0.765857619,53.5064977
Benue,2017,Benue_2017,NFPFK0,10,1110.816667,478.7666667,0.424444444,0.489444444,28.77777778,2.611607143,0.816651252,1.079499128,0.568995784,0.841637407,56.8995784
Benue,2017,Benue_2017,NFPFK1,10,1209.688889,517.3722222,0.423444444,0.615555556,31,2.801115242,0.834164469,1.090518467,0.572309685,0.849355908,57.23096848
Benue,2017,Benue_2017,NFPFK2,10,1145.838889,478.7833333,0.402166667,0.529444444,32.72222222,3.022033898,0.850954955,1.13464764,0.582154753,0.872644138,58.21547533
Benue,2017,Benue_2017,NFPFK3,10,989.8444444,433.7277778,0.419944444,0.377777778,29.83333333,2.881944444,0.838132198,1.070374158,0.561822284,0.825130707,56.1822284
Benue,2017,Benue_2017,NFPFK4,10,1237.088889,516.5611111,0.414777778,0.629444444,29.83333333,2.442060086,0.803816884,1.140100121,0.582438161,0.873322629,58.24381613
Benue,2017,Benue_2017,NFPFKF,10,1446.391667,638.9666667,0.441833333,0.691666667,19.58333333,2.72173913,0.815860138,1.060815297,0.558233996,0.81697494,55.82339962
Benue,2017,Benue_2017,NFPFKFMN,10,843.1083333,333.25,0.395833333,0.310833333,38.41666667,2.651670951,0.837959799,1.136330445,0.604736442,0.9282025,60.47364415
Benue,2017,Benue_2017,NOTFR,10,1176.633333,491.7277778,0.422277778,0.534444444,28.33333333,2.586397059,0.813948277,1.094068809,0.5820892,0.872487266,58.20891997
Benue,2017,Benue_2017,NOTHR,10,1239.85,636.35,0.504666667,0.611111111,31.38888889,2.493197279,0.811003456,0.879350544,0.48675243,0.666996957,48.67524297
Benue,2017,Benue_2017,NFPFK1,12,NA,NA,NA,NA,NA,NA,NA,2,0.768315794,NA,NA
Benue,2017,Benue_2017,NFPFKF,12,NA,NA,NA,NA,NA,NA,NA,2.24,0.811118223,NA,NA
Benue,2017,Benue_2017,NFPFKFMN,12,NA,NA,NA,NA,NA,NA,NA,2.5,0.807734915,NA,NA
Edo,2017,Edo_2017,CONTROL,1,1353.194444,1061.669444,0.783972222,0.634722222,28.77777778,2.638181818,0.818791714,0.312601432,0.215434671,0.242625436,21.54346711
Edo,2017,Edo_2017,N0PFKF,1,1097.633333,857.1416667,0.769583333,0.411944444,27,2.54822335,0.80887825,0.327636786,0.219100185,0.247308415,21.9100185
Edo,2017,Edo_2017,NFP0KF,1,1213.375,915.2222222,0.725,0.521111111,26.66666667,2.243622449,0.779136521,0.41464395,0.245721873,0.28199411,24.57218731
Edo,2017,Edo_2017,NFPFK0,1,1087.791667,820.5972222,0.749611111,0.420555556,27.27777778,2.442396313,0.79981494,0.362202058,0.245630163,0.281872532,24.56301633
Edo,2017,Edo_2017,NFPFK1,1,1394.102778,1127.305556,0.788805556,0.604722222,26.19444444,2.270428016,0.781228763,0.310383519,0.191375576,0.212420717,19.13755759
Edo,2017,Edo_2017,NFPFK2,1,1461.577778,1120.288889,0.770027778,0.668333333,25.83333333,2.334545455,0.787296491,0.344861337,0.233507169,0.265929933,23.35071689
Edo,2017,Edo_2017,NFPFK3,1,1198.052778,929.1138889,0.756194444,0.461388889,27.08333333,2.382591093,0.793880959,0.354202196,0.224480001,0.254221508,22.44800012
Edo,2017,Edo_2017,NFPFK4,1,1619.42,1274.725714,0.794257143,0.753714286,25.28571429,2.471365639,0.799770809,0.306375579,0.212850456,0.239337031,21.28504563
Edo,2017,Edo_2017,NFPFKF,1,1379.333333,1076.541667,0.778972222,0.585555556,26.72222222,2.558695652,0.809411948,0.320197283,0.219520299,0.247846547,21.95202992
Edo,2017,Edo_2017,NFPFKFMN,1,1215.683333,923.5,0.724861111,0.520277778,28.61111111,2.355123675,0.793658817,0.411713174,0.240344936,0.274890812,24.03449361
Edo,2017,Edo_2017,NOTFR,1,1374.557143,1067.84,0.765428571,0.637142857,28.02857143,2.542168675,0.809783037,0.345451451,0.223138881,0.252493685,22.31388812
Edo,2017,Edo_2017,NOTHR,1,1399.930556,1087.922222,0.781833333,0.606111111,25.30555556,2.5325,0.805329062,0.317304595,0.222874151,0.252152974,22.28741509
Edo,2017,Edo_2017,CONTROL,2.5,1893.366667,1199.891667,0.624166667,0.765,17.16666667,1.280977312,0.603969583,0.7649653,0.366265559,0.456125275,36.62655586
Edo,2017,Edo_2017,N0PFKF,2.5,1830.766667,1075.683333,0.598833333,0.736666667,16.08333333,1.341597796,0.616333423,0.808353008,0.412441054,0.531778705,41.24410541
Edo,2017,Edo_2017,NFP0KF,2.5,2049.091667,744.625,0.3615,0.87,16.66666667,1.058979809,0.543634781,1.916692827,0.636607277,1.012271149,63.66072773
Edo,2017,Edo_2017,NFPFK0,2.5,1661.1,685.425,0.386333333,0.616666667,13.75,1.058409279,0.536744649,1.535439246,0.587366805,0.885196229,58.73668051
Edo,2017,Edo_2017,NFPFK1,2.5,1796.008333,504.8833333,0.28025,0.718333333,15.25,0.929909785,0.499990408,2.298944691,0.718885863,1.268994509,71.88858626
Edo,2017,Edo_2017,NFPFK2,2.5,2062.116667,650.5583333,0.317166667,0.830833333,13,0.90770665,0.48685798,2.305889292,0.684519143,1.153657274,68.4519143
Edo,2017,Edo_2017,NFPFK3,2.5,2199.391667,660.8583333,0.3015,0.840833333,14.25,0.943377483,0.501800251,2.365940662,0.699526763,1.202396591,69.95267631
Edo,2017,Edo_2017,NFPFK4,2.5,2082.35,774.1416667,0.377583333,0.830833333,14.08333333,0.944044503,0.501608167,1.907764289,0.628236528,0.989497454,62.82365276
Edo,2017,Edo_2017,NFPFKF,2.5,2231.4,345.4583333,0.161916667,0.874166667,15.33333333,0.936260623,0.502290323,3.684661525,0.845183144,1.865512432,84.51831436
Edo,2017,Edo_2017,NFPFKFMN,2.5,1817.533333,478.275,0.278416667,0.698333333,14,1.02455209,0.526989794,2.196951726,0.736854895,1.335049668,73.68548949
Edo,2017,Edo_2017,NOTFR,2.5,1862.416667,707.3666667,0.384583333,0.665,15,1.082413539,0.54650073,1.569841822,0.620188823,0.968081052,62.01888228
Edo,2017,Edo_2017,NOTHR,2.5,2264.5,1165.325,0.53125,0.860833333,13,1.105188679,0.54909731,1.173805809,0.485394127,0.664353966,48.53941267
Edo,2017,Edo_2017,CONTROL,4,1008.75,390.6444444,0.359888889,0.308333333,21.94444444,1.088378566,0.567640723,1.3781236,0.612744045,0.948669423,61.27440452
Edo,2017,Edo_2017,N0PFKF,4,1174.85,323.2375,0.256583333,0.445,16.75,1.007731959,0.528614118,2.009424117,0.724869132,1.290508412,72.48691322
